# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
P2RX3	chr11|229 (+19010)
P2RX4	chr12|487 (-22867)
P2RX7	chr12|487 (+54370)
P2RY1	chr3|611 (+72265), chr3|612 (+322265)
P2RY12	chr3|605 (-22401)
P2RY2	chr11|292 (-54343)
PACSIN2	chr22|174 (+36150)
PAF1	chr19|160 (+6834)
PAG1	chr8|329 (-100698), chr8|328 (+149302)
PAIP2B	chr2|286 (+79212)
PAK1	chr11|309 (+60104)
PAK4	chr19|159 (+8547)
PALB2	chr16|95 (+27630)
PALLD	chr4|680 (+456746)
PALM2-AKAP2	chr9|450 (-167588)
PAM	chr5|410 (+173287)
PAMR1	chr11|143 (-77830)
PANK1	chr10|366 (+30214)
PANK3	chr5|673 (-118396)
PANX1	chr11|376 (+12907)
PANX2	chr22|203 (+15841)
PAPD4	chr5|316 (-33242)
PAPD5	chr16|201 (-61828)
PAPLN	chr14|295 (-79204)
PAPOLA	chr14|388 (-93709), chr14|389 (+156291)
PAPOLG	chr2|244 (-108364)
PAPSS1	chr4|435 (+16607)
PAPSS2	chr10|358 (-44475)
PAQR9	chr3|571 (+57177)
PARD6B	chr20|198 (+26920)
PARD6G	chr18|312 (+130428)
PARM1	chr4|306 (+516675)
PARP1	chr1|907 (-29227)
PARP12	chr7|560 (-111480), chr7|559 (+138520)
PARP14	chr3|490 (-24464)
PARP15	chr3|490 (+78552)
PARP8	chr5|200 (-87771)
PARS2	chr1|221 (+105186)
PARVB	chr22|178 (-20090)
PARVG	chr22|179 (+56165)
PAXBP1	chr21|137 (+19168)
PBLD	chr10|281 (-32317)
PBOV1	chr6|555 (-85374)
PBRM1	chr3|211 (+94851)
PBX3	chr9|516 (+365284)
PCBD1	chr10|292 (-226460)
PCBP1	chr2|282 (+60416)
PCBP3	chr21|189 (+61393), chr21|190 (+311393)
PCCA	chr13|404 (+133664), chr13|405 (+383664)
PCCB	chr3|546 (+405800)
PCDH1	chr5|565 (+132974)
PCDH18	chr4|557 (-671372)
PCDH20	chr13|249 (-123019), chr13|245 (+876981)
PCDH8	chr13|214 (+47774)
PCDH9	chr13|272 (-70533), chr13|271 (+179467)
PCDHA1	chr5|561 (-40875)
PCDHAC2	chr5|562 (+29181)
PCDHB1	chr5|562 (-55978)
PCDHB15	chr5|563 (-146)
PCDHGC5	chr5|564 (+6193)
PCF11	chr11|332 (+6971)
PCGF5	chr10|372 (-105544), chr10|373 (+144456)
PCK1	chr20|225 (-11135)
PCMT1	chr6|601 (+54422)
PCMTD1	chr8|212 (-63343)
PCMTD2	chr20|252 (-12120)
PCNP	chr3|406 (+82062)
PCNXL2	chr1|933 (+306458)
PCNXL4	chr14|243 (+66372)
PCOLCE2	chr3|571 (-16956)
PCP4	chr21|165 (-114242), chr21|166 (+135758), chr21|167 (+385758), chr21|168 (+635758), chr21|169 (+885758)
PCSK1	chr5|384 (-106017), chr5|382 (+393983)
PCSK6	chr15|409 (-95128), chr15|408 (+154872)
PCSK9	chr1|223 (+119780)
PDCD2L	chr19|140 (-20288)
PDCD4	chr10|451 (-6564)
PDCD6IP	chr3|136 (+34935)
PDCL	chr9|503 (-34091)
PDCL3	chr2|405 (-54151)
PDE11A	chr2|716 (+62481)
PDE1A	chr2|732 (+512303)
PDE4C	chr19|74 (-8772)
PDE5A	chr4|484 (-324855), chr4|483 (-74855), chr4|482 (+175145)
PDE6A	chr5|597 (+199355)
PDE6C	chr10|382 (+2656)
PDE7A	chr8|268 (-120814), chr8|267 (+129186)
PDE7B	chr6|544 (-297833)
PDE8A	chr15|343 (+101330), chr15|344 (+351330)
PDE9A	chr21|177 (+51136)
PDGFB	chr22|159 (+15755)
PDHB	chr3|234 (+44578)
PDIA4	chr7|595 (+100732)
PDIA5	chr3|492 (+89084)
PDK1	chr2|694 (-45778)
PDLIM1	chr10|389 (-74220)
PDLIM4	chr5|527 (+31637)
PDLIM5	chr4|382 (-1395)
PDP1	chr8|380 (-54174)
PDPR	chr16|281 (-22528)
PDSS2	chr6|431 (+155766), chr6|430 (+405766)
PDZD2	chr5|127 (-14516)
PDZD8	chr10|477 (+9977)
PDZK1IP1	chr1|191 (+30726)
PDZRN3	chr3|294 (+299090), chr3|293 (+549090)
PEAR1	chr1|628 (+11489)
PEBP1	chr12|475 (+51338)
PELI1	chr2|259 (-253413)
PENK	chr8|232 (-516412)
PEPD	chr19|136 (+137699)
PET112	chr4|611 (+57174), chr4|610 (+307174)
PEX1	chr7|369 (+32844)
PEX13	chr2|245 (-119856)
PEX2	chr8|312 (+38279)
PEX5L	chr3|718 (+379717)
PEX7	chr6|549 (-18722)
PFDN1	chr5|559 (+57705)
PFN2	chr3|600 (-186105), chr3|599 (+63895)
PGAP1	chr2|793 (-333546), chr2|792 (-83546)
PGBD3	chr10|203 (+107272)
PGBD5	chr1|922 (+138390)
PGGT1B	chr5|460 (-276432), chr5|459 (-26432)
PGK1	chrX|310 (+15330)
PGM2L1	chr11|297 (-15483)
PGM3	chr6|337 (-221368), chr6|336 (+28632)
PGPEP1L	chr15|399 (-76210), chr15|398 (+173790)
PGRMC1	chrX|473 (-245215)
PGRMC2	chr4|519 (-415017), chr4|518 (-165017), chr4|517 (+84983)
PGS1	chr17|306 (+280)
PHACTR2	chr6|577 (+125899)
PHC2	chr1|136 (-33807)
PHC3	chr3|680 (+24534)
PHF11	chr13|201 (+54904)
PHF17	chr4|518 (-355778), chr4|519 (-105778)
PHF19	chr9|495 (+14605)
PHF2	chr9|386 (+36312)
PHF21B	chr22|182 (+30580), chr22|181 (+280580)
PHF3	chr6|258 (+29260)
PHF8	chrX|218 (-303319), chrX|217 (-53319)
PHIP	chr6|320 (-87048), chr6|319 (+162952)
PHKA1	chrX|288 (+58887)
PHLDA1	chr12|306 (+52711)
PHLPP1	chr18|242 (-7682), chr18|244 (+492318)
PHOSPHO1	chr17|190 (-66873)
PHOSPHO2	chr2|683 (+74026)
PHOX2B	chr4|168 (-124014)
PI15	chr8|302 (-361771)
PIAS2	chr18|178 (+122307)
PIBF1	chr13|294 (+18804), chr13|295 (+268804)
PICALM	chr11|344 (-95030), chr11|343 (+154970)
PIFO	chr1|448 (-13909)
PIGB	chr15|223 (+13843)
PIGN	chr18|240 (-20744), chr18|239 (+229256)
PIGR	chr1|829 (-5190)
PIK3AP1	chr10|394 (+105270)
PIK3C3	chr18|159 (+89830)
PIK3CB	chr3|555 (-71407), chr3|554 (+178593)
PIK3CG	chr7|426 (-130923), chr7|427 (+119077)
PIK3R3	chr1|187 (-26687), chr1|186 (+223313)
PIKFYVE	chr2|837 (-5990)
PIM3	chr22|202 (+20840)
PIN4	chrX|284 (-526528), chrX|285 (-276528), chrX|286 (-26528)
PIP	chr7|572 (+45831)
PIPOX	chr17|110 (+5083)
PISD	chr22|129 (-100794)
PITPNC1	chr17|262 (+730), chr17|263 (+250730)
PITX1	chr5|539 (-255013), chr5|538 (-5013)
PIWIL3	chr22|101 (+45682)
PIWIL4	chr11|378 (+74527)
PJA1	chrX|275 (-239637)
PJA2	chr5|435 (+120694), chr5|433 (+620694)
PKDCC	chr2|170 (+99841)
PKDREJ	chr22|187 (+34218)
PKP4	chr2|638 (+61377)
PLA1A	chr3|478 (+58312)
PLA2G16	chr11|254 (+6840)
PLA2G4C	chr19|195 (-10927)
PLA2R1	chr2|644 (+44120)
PLAC8	chr4|337 (-89133)
PLAC9	chr10|328 (-17476)
PLAG1	chr8|229 (-1163)
PLAGL1	chr6|578 (-84886)
PLB1	chr2|116 (+156063)
PLCE1	chr10|384 (+121255)
PLCG1	chr20|160 (+109124)
PLCG2	chr16|327 (-187862), chr16|328 (+62138)
PLCH1	chr3|622 (+18827)
PLD3	chr19|164 (+20409)
PLD5	chr1|974 (-687181)
PLEK2	chr14|272 (+3916)
PLEKHA3	chr2|718 (+29806)
PLEKHA4	chr19|198 (-3112)
PLEKHA6	chr1|818 (-45957)
PLEKHB1	chr11|293 (-232222)
PLEKHB2	chr2|528 (+12581), chr2|529 (+262581)
PLEKHF2	chr8|385 (-21031)
PLEKHG1	chr6|605 (+204002)
PLEKHG3	chr14|261 (-46153)
PLEKHH2	chr2|176 (+10589)
PLEKHM3	chr2|836 (+15283)
PLEKHO1	chr1|601 (+2831)
PLGLB1	chr2|352 (-626026), chr2|350 (-126026)
PLGLB2	chr2|350 (-672605), chr2|352 (-172605)
PLK4	chr4|516 (+72985)
PLLP	chr16|230 (-56402)
PLN	chr6|476 (+5540)
PLRG1	chr4|622 (+96586)
PLS1	chr3|570 (+32773)
PLSCR2	chr3|585 (+62087)
PLSCR4	chr3|585 (-156035)
PLXNA1	chr3|507 (-82436)
PLXNA2	chr1|834 (+42664), chr1|833 (+292664)
PLXNC1	chr12|377 (-417498), chr12|379 (+82502)
PM20D1	chr1|824 (-55756)
PM20D2	chr6|360 (+19232)
PMAIP1	chr18|230 (-192179), chr18|231 (+57821)
PMEPA1	chr20|228 (-590043), chr20|227 (-340043), chr20|226 (-90043)
PMFBP1	chr16|291 (-418847)
PMPCB	chr7|412 (-62868)
PNISR	chr6|400 (-1817)
PNKP	chr19|202 (-4179)
PNPLA8	chr7|433 (+41637)
PNPT1	chr2|224 (+46044)
POC5	chr5|301 (-111695)
PODXL	chr7|525 (+116365)
POFUT2	chr21|187 (+82812)
POGZ	chr1|606 (+56940)
POLD3	chr11|298 (+71426)
POLE2	chr14|201 (+30020)
POLE4	chr2|301 (-60618), chr2|302 (+189382)
POLG	chr15|360 (+3077)
POLG2	chr17|250 (+118153)
POLI	chr18|208 (+79227)
POLR1A	chr2|345 (+208277)
POLR2D	chr2|515 (-9270)
POLR2F	chr22|154 (+25331)
POLR2I	chr19|147 (-18753)
POM121	chr7|289 (-224935)
POP1	chr8|397 (-4539)
POPDC2	chr3|478 (+4436)
POPDC3	chr6|423 (+2734)
POR	chr7|303 (+80604)
POT1	chr7|499 (-54966)
POTEF	chr2|524 (+3181)
POU2F1	chr1|669 (-65065)
POU2F2	chr19|171 (+11578)
POU2F3	chr11|481 (+17652)
POU3F2	chr6|398 (+92421)
POU3F3	chr2|423 (+153032)
POU4F1	chr13|317 (+52672)
POU4F2	chr4|594 (+814956)
POU4F3	chr5|583 (-93586)
POU5F2	chr5|374 (-297658)
POU6F1	chr12|207 (-13524)
PPAP2A	chr5|219 (+205796)
PPAPDC1B	chr8|153 (+1737)
PPARA	chr22|187 (+78502)
PPARD	chr6|142 (+64610)
PPARGC1B	chr5|597 (+15127)
PPCDC	chr15|302 (+59105)
PPFIA1	chr11|281 (+8195)
PPFIA3	chr19|199 (+2355)
PPIA	chr7|180 (+38722)
PPIAL4B	chr1|579 (-260755)
PPIAL4C	chr1|597 (-428002)
PPIC	chr5|490 (-2565)
PPID	chr4|639 (+19547)
PPIF	chr10|324 (-232233), chr10|325 (+17767)
PPIH	chr1|173 (+905)
PPIP5K1	chr15|176 (+7429)
PPM1B	chr2|178 (-21015)
PPM1H	chr12|253 (+203816), chr12|252 (+453816)
PPM1K	chr4|357 (+80887)
PPP1CB	chr2|116 (-99718)
PPP1R12A	chr12|322 (-46023)
PPP1R12B	chr1|810 (+57174)
PPP1R12C	chr19|223 (+3926)
PPP1R13B	chr14|418 (-61074)
PPP1R15A	chr19|198 (-648)
PPP1R15B	chr1|818 (+5918)
PPP1R1C	chr2|732 (+24397)
PPP1R21	chr2|195 (-42935)
PPP1R36	chr14|261 (+108381)
PPP1R37	chr19|183 (+28781)
PPP1R3C	chr10|374 (+17810)
PPP2CB	chr8|123 (+45387)
PPP2R1B	chr11|447 (+12105)
PPP2R3A	chr3|543 (-59514), chr3|544 (+190486)
PPP2R5A	chr1|850 (-83878)
PPP2R5C	chr14|410 (+146866)
PPP2R5E	chr14|257 (-114909), chr14|256 (+135091)
PPP3CA	chr4|410 (-106364)
PPP4R1L	chr20|228 (+9494), chr20|227 (+259494), chr20|226 (+509494)
PPP4R2	chr3|293 (+79065), chr3|294 (+329065)
PPP5C	chr19|188 (+24750)
PPP6R2	chr22|204 (+93249)
PPWD1	chr5|260 (+15935)
PQLC1	chr18|311 (+86663)
PRDM1	chr6|424 (-659194), chr6|426 (-159194), chr6|427 (+90806)
PRDM10	chr11|520 (-2271)
PRDM11	chr11|181 (-43893)
PRDM13	chr6|401 (+70395)
PRDM14	chr8|284 (+108561)
PRDM4	chr12|433 (+29936)
PRELID2	chr5|581 (+89866)
PRELP	chr1|814 (-69955)
PREP	chr6|426 (-524042), chr6|424 (-24042)
PREX1	chr20|188 (+569419)
PRG3	chr11|229 (+23622)
PRIM1	chr12|229 (+21118)
PRIM2	chr6|229 (-57421)
PRKAB1	chr12|481 (+19443)
PRKAG2	chr7|607 (-50791), chr7|606 (+199209)
PRKAR2B	chr7|427 (-60093)
PRKCA	chr17|258 (+76057)
PRKCE	chr2|184 (-3912), chr2|186 (+496088)
PRKCH	chr14|248 (+86566), chr14|249 (+336566)
PRKDC	chr8|196 (-2258)
PRKG1	chr10|214 (+541067)
PRKRA	chr2|717 (+190957)
PRKRIR	chr11|305 (-33015)
PRMT10	chr4|595 (-19620)
PRMT2	chr21|193 (+9386)
PRMT7	chr16|274 (+29964)
PROK2	chr3|290 (-540789), chr3|289 (-290789), chr3|288 (-40789)
PROM2	chr2|384 (-65200)
PROSC	chr8|151 (+4890)
PROX1	chr1|858 (+213715)
PRPF38A	chr1|212 (+4765)
PRPF39	chr14|182 (-178301)
PRPF40A	chr2|615 (-50506)
PRPSAP1	chr17|298 (-24771)
PRR12	chr19|201 (+30101)
PRR5	chr22|180 (-197964)
PRRC1	chr5|508 (+21700)
PRSS12	chr4|478 (-100843), chr4|477 (+149157)
PRSS23	chr11|347 (+113719)
PRSS35	chr6|338 (+152807)
PRSS38	chr1|913 (+121607)
PRSS48	chr4|610 (+176678), chr4|611 (+426678)
PRSS54	chr16|234 (-46050)
PSAT1	chr9|324 (-37058)
PSD2	chr5|558 (+199595)
PSEN1	chr14|295 (+21846)
PSG9	chr19|176 (-101321)
PSMA6	chr14|143 (-136562)
PSMB2	chr1|145 (-17556)
PSMB4	chr1|606 (+2991)
PSMB7	chr9|509 (+52717)
PSMC1	chr14|363 (-97838)
PSMC5	chr17|248 (-29542)
PSMD1	chr2|928 (-46577)
PSMD5	chr9|495 (-19739)
PSMD7	chr16|298 (+44328)
PSMD8	chr19|156 (+9825)
PSME4	chr2|217 (+72976)
PSMG1	chr21|163 (-69224), chr21|162 (+180776)
PSTPIP2	chr18|175 (+27225)
PTBP3	chr9|461 (-29878)
PTCD2	chr5|287 (+8807)
PTCD3	chr2|346 (+41696)
PTCH1	chr9|395 (-354058), chr9|394 (-104058), chr9|393 (+145942)
PTCH2	chr1|182 (-66266)
PTDSS1	chr8|390 (+101058)
PTGDR2	chr11|243 (-1557)
PTGER2	chr14|212 (+93888)
PTGES3L-AARSD1	chr17|165 (+7544)
PTGIR	chr19|189 (+3374)
PTGIS	chr20|193 (+59682)
PTGR1	chr9|458 (-12866)
PTGS1	chr9|501 (-8358)
PTP4A2	chr1|130 (+28987)
PTPDC1	chr9|388 (+28255)
PTPLB	chr3|494 (-70969)
PTPN1	chr20|196 (-251890)
PTPN11	chr12|452 (+18283)
PTPN12	chr7|309 (-41591)
PTPN13	chr4|351 (+109533)
PTPN18	chr2|525 (+11421)
PTPN21	chr14|356 (+146076)
PTPN3	chr9|450 (-114415), chr9|449 (+135585)
PTPN4	chr2|483 (+107794)
PTPN7	chr1|809 (+5708)
PTPRB	chr12|284 (+156219)
PTPRJ	chr11|193 (+122888)
PTPRN2	chr7|634 (+5370)
PTPRU	chr1|119 (+61973)
PTPRZ1	chr7|485 (-388142)
PTS	chr11|449 (+27913)
PTTG1	chr5|640 (+26084)
PTX3	chr3|629 (-29577)
PUM2	chr2|83 (-97857)
PUS7	chr7|421 (+37704)
PUS7L	chr12|177 (+27560)
PVR	chr19|181 (-22097)
PVRL1	chr11|479 (-25207)
PVRL2	chr19|182 (+25218)
PWP1	chr12|433 (+45492)
PXK	chr3|234 (+56394)
QPCT	chr2|152 (+303284)
QRFP	chr9|535 (+144224)
QRSL1	chr6|429 (+47548)
QSOX1	chr1|721 (+1032)
QTRTD1	chr3|456 (+99419)
R3HDM1	chr2|546 (+85918)
RAB11FIP4	chr17|121 (+406359)
RAB11FIP5	chr2|294 (-34855)
RAB14	chr9|496 (+89146)
RAB19	chr7|561 (+21158)
RAB1A	chr2|262 (-17761)
RAB20	chr13|445 (+89079)
RAB21	chr12|289 (-23653)
RAB23	chr6|229 (-37923)
RAB27B	chr18|211 (+129571)
RAB2A	chr8|246 (-54415)
RAB30	chr11|331 (+157907)
RAB33B	chr4|562 (+40)
RAB3B	chr1|210 (+81435)
RAB3GAP1	chr2|544 (+65133)
RAB3GAP2	chr1|882 (+70795)
RAB3IP	chr12|281 (-8169)
RAB40B	chr17|323 (+31603)
RAB5B	chr12|226 (+7206)
RAB6B	chr3|535 (-10341)
RAB6C	chr2|524 (+137766)
RAB9B	chrX|413 (-37843)
RABGAP1L	chr1|697 (-3654)
RABGEF1	chr7|266 (+169281)
RABIF	chr1|812 (-16738)
RAC2	chr22|151 (+15309)
RAD21	chr8|472 (+12104)
RAD23B	chr9|441 (+79441)
RALA	chr7|160 (+211919)
RALGAPB	chr20|149 (+23542)
RALGPS1	chr9|520 (+197948)
RAN	chr12|526 (+18577)
RANBP2	chr2|438 (+39064)
RAP1A	chr1|449 (-37404)
RAP1B	chr12|276 (-129618)
RAP1GDS1	chr4|397 (-57668)
RAP2A	chr13|393 (+38525)
RAP2B	chr3|611 (-255028), chr3|612 (-5028)
RAPGEF1	chr9|540 (-289772), chr9|539 (-39772)
RAPGEF2	chr4|640 (-313888), chr4|641 (-63888)
RAPGEF3	chr12|193 (+27427)
RAPGEF4	chr2|695 (+24432), chr2|696 (+274432)
RAPGEF6	chr5|525 (-154197), chr5|524 (+95803), chr5|523 (+345803)
RAPH1	chr2|818 (+25132)
RARG	chr12|215 (+1035)
RARS	chr5|672 (-38449)
RASA1	chr5|347 (+61296)
RASA2	chr3|565 (-80890), chr3|566 (+169110)
RASD2	chr22|144 (-61914)
RASGEF1B	chr4|333 (-731932)
RASGRF1	chr15|318 (+8114)
RASGRP1	chr15|159 (-767994), chr15|156 (-17994)
RASGRP3	chr2|135 (-76294), chr2|136 (+173706)
RASL11B	chr4|215 (-103456)
RASSF3	chr12|260 (-129292), chr12|261 (+120708)
RAVER2	chr1|262 (+164223)
RB1	chr13|196 (-2910)
RB1CC1	chr8|215 (+1991)
RBBP5	chr1|821 (-33858)
RBBP6	chr16|99 (+73485)
RBFOX2	chr22|146 (+49472), chr22|145 (+299472)
RBFOX3	chr17|310 (+103562), chr17|309 (+353562)
RBL2	chr16|213 (-343331), chr16|214 (-93331)
RBM15	chr1|444 (-6127)
RBM18	chr9|501 (-97883)
RBM19	chr12|458 (+29110)
RBM20	chr10|450 (-29154), chr10|451 (+220846)
RBM26	chr13|320 (+104922)
RBM27	chr5|583 (+41838)
RBM33	chr7|622 (-62372)
RBM34	chr1|942 (-50229)
RBM41	chrX|426 (-12967)
RBM42	chr19|145 (+5050)
RBM43	chr2|609 (-6608)
RBM48	chr7|370 (+216914)
RBMS1	chr2|646 (-24696), chr2|645 (+225304)
RBMX	chrX|544 (+87883)
RBP1	chr3|558 (-116330)
RBP2	chr3|557 (+70357)
RBP3	chr10|194 (+15990)
RBX1	chr22|166 (+27638)
RC3H2	chr9|503 (+35388)
RCBTB1	chr13|201 (+34718)
RCBTB2	chr13|197 (-17632)
RCOR3	chr1|846 (-57774)
RCSD1	chr1|671 (+25671)
RD3	chr1|847 (+41258)
RDH10	chr8|298 (+168154), chr8|299 (+418154)
RDH16	chr12|230 (-22898)
RDH8	chr19|41 (+1076)
REEP1	chr2|347 (-59795)
REEP3	chr10|262 (+93878)
REL	chr2|245 (+16345)
RELN	chr7|413 (+504962)
RELT	chr11|293 (+37692)
REPS1	chr6|558 (-65603), chr6|557 (+184397)
RET	chr10|174 (-197474), chr10|175 (+52526)
REV1	chr2|401 (-18504)
REV3L	chr6|448 (-70086), chr6|447 (+179914)
REXO2	chr11|458 (+64893)
RFC3	chr13|136 (-517185)
RFPL2	chr22|131 (-25537)
RFPL4B	chr6|451 (-43531), chr6|455 (+956469)
RFWD2	chr1|705 (+51628)
RFX1	chr19|57 (-7904)
RFX4	chr12|429 (+130086)
RFXAP	chr13|150 (-18360)
RGMB	chr5|393 (+20002)
RGPD1	chr2|349 (-19737)
RGPD3	chr2|428 (+209831)
RGPD8	chr2|453 (+66221)
RGS16	chr1|731 (-51458)
RGS20	chr8|220 (+110633)
RGS3	chr9|466 (+167990), chr9|467 (+417990)
RGS7	chr1|967 (-104471)
RGS8	chr1|731 (+17048)
RGS9	chr17|253 (-8591)
RGSL1	chr1|730 (-44280)
RHBDD3	chr22|119 (+38966)
RHBG	chr1|626 (+35998)
RHEB	chr7|606 (-157991)
RHOB	chr2|83 (-21834)
RHOBTB1	chr10|251 (+79004)
RHOBTB3	chr5|381 (+58122)
RHOJ	chr14|256 (+203875)
RHOT1	chr17|122 (-94484)
RHOU	chr1|916 (+4177), chr1|917 (+254177), chr1|918 (+504177)
RHOXF2B	chrX|477 (+86706)
RIC8B	chr12|429 (-43417)
RIF1	chr2|610 (+108546)
RIMKLA	chr1|172 (+28524)
RIMS1	chr6|293 (+528274)
RIMS3	chr1|165 (+6328)
RIN2	chr20|80 (+7836)
RIN3	chr14|373 (+144883)
RINL	chr19|158 (-6082)
RIOK2	chr5|387 (-106037), chr5|386 (+143963)
RIPK2	chr8|364 (+105026)
RIPK4	chr21|173 (+62265)
RIPPLY3	chr21|154 (-3862)
RLF	chr1|163 (-2044)
RLIM	chrX|296 (-40549)
RLN3	chr19|57 (-13959)
RLTPR	chr16|271 (-53821)
RMDN1	chr8|350 (+146008)
RMI1	chr9|347 (+29288), chr9|348 (+279288)
RMND1	chr6|608 (-101742)
RNASEH2B	chr13|204 (-608813), chr13|205 (-358813), chr13|206 (-108813), chr13|207 (+141187), chr13|208 (+391187)
RNF103	chr2|348 (-24023)
RNF11	chr1|207 (-76942)
RNF113B	chr13|397 (-295482), chr13|396 (-45482)
RNF115	chr1|583 (+13965)
RNF122	chr8|134 (+49642)
RNF125	chr18|119 (+26666)
RNF13	chr3|599 (+94444)
RNF130	chr5|718 (+124117)
RNF138	chr18|119 (-46817)
RNF14	chr5|566 (+26397)
RNF145	chr5|635 (+12060)
RNF146	chr6|511 (+37246)
RNF149	chr2|408 (+50157)
RNF150	chr4|569 (-71005)
RNF152	chr18|239 (-64009), chr18|238 (+185991)
RNF165	chr18|176 (-39186), chr18|177 (+210814)
RNF169	chr11|299 (+165088)
RNF175	chr4|619 (+56386)
RNF185	chr22|127 (+68822)
RNF19B	chr1|134 (+55285)
RNF2	chr1|741 (+110505)
RNF213	chr17|314 (+140334)
RNF214	chr11|469 (+21549)
RNF217	chr6|502 (+70487)
RNF219	chr13|320 (-641687)
RNF220	chr1|180 (+4135), chr1|181 (+254135)
RNF32	chr7|627 (+191523)
RNF34	chr12|488 (+37079)
RNF7	chr3|566 (-82045)
RNF8	chr6|150 (+53253)
ROM1	chr11|250 (-5212)
ROR2	chr9|380 (-162557), chr9|379 (+87443)
RORA	chr15|248 (-955339), chr15|244 (+44661)
RPAP3	chr12|191 (+474843)
RPF2	chr6|446 (+71783)
RPGRIP1L	chr16|215 (+112757)
RPH3A	chr12|452 (-354459)
RPL13	chr16|359 (-2118)
RPL18	chr19|197 (-2208)
RPL22L1	chr3|683 (-36729), chr3|682 (+213271)
RPL31	chr2|407 (+6256)
RPL34	chr4|437 (-416811)
RPL35	chr9|511 (-761)
RPL37A	chr2|870 (+12089)
RPL38	chr17|288 (-324791), chr17|289 (-74791)
RPL39	chrX|476 (+50605)
RPL5	chr1|374 (+77419)
RPL7	chr8|297 (+81132)
RPLP1	chr15|280 (+129878), chr15|282 (+629878)
RPP30	chr10|371 (-6708)
RPRD1A	chr18|135 (+22538), chr18|134 (+272538)
RPRD2	chr1|602 (+37814)
RPRM	chr2|615 (+710321)
RPS12	chr6|533 (-10579)
RPS19	chr19|170 (+11013)
RPS20	chr8|228 (+112067)
RPS23	chr5|326 (+199395)
RPS24	chr10|320 (+81483), chr10|321 (+331483), chr10|323 (+831483)
RPS27	chr1|617 (+161766)
RPS27A	chr2|222 (-84537)
RPS3	chr11|301 (+14427)
RPS3A	chr4|609 (+104276)
RPS6KA5	chr14|366 (+151951), chr14|365 (+401951), chr14|364 (+651951)
RPS6KC1	chr1|853 (-99596)
RPTN	chr1|609 (+6703)
RPTOR	chr17|315 (+105933), chr17|316 (+355933)
RRAGB	chrX|224 (+130683)
RRAGD	chr6|361 (-3012)
RRAS	chr19|201 (+18457)
RRP7A	chr22|172 (+40807)
RRS1	chr8|269 (-216262)
RSBN1L	chr7|310 (+49241)
RSF1	chr11|310 (+157062)
RSPO1	chr1|153 (-24510)
RSRC1	chr3|632 (+47160)
RTKN2	chr10|256 (+153465)
RTN4	chr2|222 (-97321), chr2|221 (+152679)
RTTN	chr18|272 (-1820)
RUFY2	chr10|281 (+41945)
RUFY3	chr4|287 (+37289)
RUFY4	chr2|876 (-58977)
RUNDC3A	chr17|170 (-10926)
RUNX1	chr21|150 (-953360), chr21|149 (-703360), chr21|148 (-453360), chr21|147 (-203360), chr21|146 (+46640), chr21|145 (+296640)
RUNX2	chr6|178 (-921105)
RUSC1	chr1|622 (+84283)
RWDD1	chr6|468 (-17529)
RWDD2B	chr21|122 (+16698)
RXFP2	chr13|128 (-438678)
RYBP	chr3|292 (-378932), chr3|291 (-128932), chr3|290 (+121068), chr3|289 (+371068), chr3|288 (+621068)
RYK	chr3|536 (+94493)
S100A13	chr1|615 (-18433)
S100A7A	chr1|614 (-13999)
S100A8	chr1|614 (-11337)
S1PR5	chr19|43 (+3606)
SAE1	chr19|191 (-9119)
SAGE1	chrX|539 (-350784)
SALL1	chr16|204 (+310185)
SALL4	chr20|203 (-205942)
SAMD3	chr6|522 (+311569)
SAMD4A	chr14|221 (+90366)
SAMD4B	chr19|160 (+41893)
SAMD9	chr7|371 (+122335)
SAMM50	chr22|178 (+23700)
SAP130	chr2|515 (+159868)
SAP30L	chr5|615 (-200516)
SATB2	chr2|803 (-302182)
SAV1	chr14|205 (+10048)
SBF1	chr22|204 (+38452)
SBSPON	chr8|297 (-119494)
SC5D	chr11|485 (-38161)
SCAF11	chr12|187 (-240653), chr12|186 (+9347), chr12|185 (+259347)
SCAF4	chr21|133 (-20613)
SCAI	chr9|512 (+30774)
SCAND1	chr20|139 (-77607)
SCARB1	chr12|502 (-26608)
SCARB2	chr4|309 (+10045)
SCCPDH	chr1|988 (-12348)
SCD	chr10|409 (+18120)
SCD5	chr4|335 (+95009)
SCEL	chr13|313 (+15106)
SCGB2B2	chr19|141 (+41603)
SCHIP1	chr3|639 (+67351)
SCLT1	chr4|521 (-110239)
SCMH1	chr1|167 (+2103)
SCML4	chr6|433 (+20515), chr6|432 (+270515)
SCN1A	chr2|668 (+55130)
SCN5A	chr3|155 (+66162)
SCN8A	chr12|208 (-110019)
SCNN1B	chr16|94 (+61410)
SCOC	chr4|565 (-169663)
SCP2D1	chr20|76 (+80631)
SCPEP1	chr17|221 (+69535)
SCUBE1	chr22|175 (+114393)
SDAD1	chr4|308 (+37112)
SDC1	chr2|82 (+50193)
SDC2	chr8|390 (-130578), chr8|391 (+119422)
SDHC	chr1|646 (+90954)
SDK2	chr17|289 (-484773), chr17|288 (-234773), chr17|287 (+15227), chr17|286 (+265227)
SDPR	chr2|771 (+86980)
SDR42E1	chr16|328 (+170092)
